Cor;Categoria;Especie;Numero;Data;Situacao;CorSituacao;Ementa;Acesso;
#3366CC;Institucional;Portaria PR;21;16/07/2025;Vigente;#007e5d;Prorroga o prazo definido no art. 22 da PORTARIA INPI/PR Nº 52, DE 24 DE DEZEMBRO DE 2024;https://www.gov.br/inpi/pt-br/central-de-conteudo/legislacao/arquivos/documentos/2025pr-21-prorrogacao-do-prazo-de-adequacao-sobre-o-uso-de-ia-no-inpi.pdf;
#5D3B8F;Patentes;Portaria DIRPA;4;23/05/2025;Vigente;#007e5d;Aprovação de documentos do macroprocesso de Concessão da Patente relativos a continuação do exame técnico de pedidos de patente na DIRPA após provimento do recurso sob despacho 100.2;https://www.gov.br/inpi/pt-br/central-de-conteudo/legislacao/arquivos/documentos/portaria-dirpa_04_2025_procedimento-de-continuacao-do-exame-tecnico-apos-provimento-de-recurso.pdf;
#3366CC;Institucional;Decreto Legislativo;174;23/06/2025;Vigente;#007e5d;Aprova os textos do Tratado de Budapeste sobre o Reconhecimento Internacional do Depósito de Micro-Organismos para Efeitos do Procedimento em Matéria de Patentes, assinado em Budapeste, em 28 de abril de 1977, e modificado em 26 de setembro de 1980, e de seu Regulamento de Execução, adotado em 28 de abril de 1977 e modificado em 20 de janeiro de 1981, em 1º de outubro de 2002 e em 22 de julho de 2022.;https://www.gov.br/inpi/pt-br/central-de-conteudo/legislacao/arquivos/documentos/decreto-174-de-2025.pdf;
#CC2288;Marcas;Portaria DIRMA;15;04/07/2025;Vigente;#007e5d;Dispõe sobre a designação de donos e gestores dos processos que compõem o macroprocesso de Concessão de Registro de Indicação Geográfica.;https://www.gov.br/inpi/pt-br/central-de-conteudo/legislacao/arquivos/documentos/dirma-no-15.pdf;
#CC2288;Marcas;Portaria DIRMA;14;03/07/2025;Vigente;#007e5d;Dispõe sobre a designação de donos e gestores dos processos que compõem o macroprocesso de Concessão de Registro de Desenho Industrial.;https://www.gov.br/inpi/pt-br/central-de-conteudo/legislacao/arquivos/documentos/2025dirma-no-14.pdf;
#CC2288;Marcas;Portaria DIRMA;13;04/07/2025;Vigente;#007e5d;Dispõe sobre a designação de donos e gestores dos processos que compõem o macroprocesso de Concessão de Registro de Marca.;https://www.gov.br/inpi/pt-br/central-de-conteudo/legislacao/arquivos/documentos/2025dirma-no-13.pdf;
#CC2288;Marcas;Portaria DIRMA;12;30/06/2025;Vigente;#007e5d;Dispõe sobre o Comitê de Orientação dos Procedimentos Técnicos do Exame de Marcas, Desenhos Industriais e Indicações Geográficas – COPEX;https://www.gov.br/inpi/pt-br/central-de-conteudo/legislacao/arquivos/documentos/2025dirma-no-12.pdf;
#CC2288;Marcas;Portaria DIRMA;11;16/06/2025;Vigente;#007e5d;Regulamenta a execução, no âmbito da Diretoria de Marcas, Desenhos Industriais e Indicações Geográficas (DIRMA), do Programa de Gestão e Desempenho instituído pela Portaria INPI/PR nº 67, de 6 de setembro de 2022, alterada pela Portaria INPI nº 55, de 21 de dezembro de 2023.;https://www.gov.br/inpi/pt-br/central-de-conteudo/legislacao/arquivos/documentos/2025dirma-no-11.pdf;
#5D3B8F;Patentes;Portaria DIRPA;10;18/06/2025;Vigente;#007e5d;Publicação do Manual do Usuário de Caducidade da Patente relativo ao macroprocesso de Concessão da Patente;https://www.gov.br/inpi/pt-br/central-de-conteudo/legislacao/arquivos/documentos/2025dirpa-10.pdf;
#3366CC;Institucional;Portaria PR;20;09/07/2025;Vigente;#007e5d;Institui o o Programa Vita no âmbito do Instituto Nacional da Propriedade Industrial - INPI;https://www.gov.br/inpi/pt-br/central-de-conteudo/legislacao/arquivos/documentos/2025pr-20-portaria-que-institui-o-programa-vita-no-inpi.pdf;
